,NP_Synthesis,shape,method,Bacteria,Superkingdom,Phylum,Class,Order,Family,Genus,Species,bac_type,gram,NP size_min (nm),NP size_max (nm),MDR,MIC_NP (μg/ml),time (hr),"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C "
0,28.0,8.0,3.0,0.0,2.0,8.0,3.0,4.0,7.0,0.0,0.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,-0.47072068836272934,-0.34547935871519414,0.025706083581796563,1.9165075134462701,2.4488724889479987,1.9912056661898332,-5.076651526510018
1,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
2,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
3,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
4,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
5,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
6,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
7,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
8,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.39251799556919126,0.025706083581796563,-0.41630619927892903,0.5704558856308716,1.9912056661898332,0.3012026434589428
9,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
10,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
11,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
12,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
13,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
14,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
15,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
16,42.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.4331453338195081,-0.63275832441486,2.124402059909925,-0.391933664676595,0.025706083581796563,-0.41630619927892903,0.5704558856308716,1.9912056661898332,0.3012026434589428
17,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
18,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
19,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
20,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
21,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
22,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
23,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
24,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,0.3265011677704793,-1.0943877446411867,-0.41630619927892903,0.5704558856308716,1.9912056661898332,0.3012026434589428
25,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
26,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
27,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
28,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
29,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
30,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
31,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
32,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,1.0569147835157764,-1.0943877446411867,-0.41630619927892903,0.5704558856308716,1.9912056661898332,0.3012026434589428
33,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
34,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
35,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
36,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
37,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
38,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
